| Especie | Razas | Mascotas por raza |
| ------- | ----- | ----------------- |
| Can     | 5     | 2 c/u             |
| Felino  | 5     | 2 c/u             |
| Ave     | 5     | 2 c/u             |
| Roedor  | 5     | 2 c/u             |
| Conejo  | 5     | 2 c/u             |
| Reptil  | 3     | 1 c/u             |
| Pez     | 3     | 1 c/u             |
| Hurón   | 3     | 1 c/u             |
| Anfibio | 3     | 1 c/u             |
| Équido  | 3     | 1 c/u             |
| Porcino | 3     | 1 c/u             |
| Ovejas  | 3     | 1 c/u             |
Ttoal: 61

| Propietario | Mascotas |
| ----------- | -------- |
| 1           | 1        |
| 2           | 1        |
| 3           | 1        |
| 4           | 2        |
| 5           | 2        |
| 6           | 2        |
| 7           | 3        |
| 8           | 3        |
| 9           | 3        |
| 10          | 5        |
| 11          | 5        |
| 12          | 5        |
| 13          | 5        |
| 14          | 5        |
| 15          | 5        |
| 16          | 5        |
| 17          | 4        |
| 18          | 4        |
| 19          | 4        |
| 20          | 4        |
Total: 68
